%MEM   RSS
85.1 2540976
%MEM   RSS
85.2 2543156
%MEM   RSS
85.2 2544196
%MEM   RSS
85.3 2547308
%MEM   RSS
85.3 2544604
%MEM   RSS
85.1 2540628
%MEM   RSS
83.9 2503564
%MEM   RSS
84.7 2528276
%MEM   RSS
84.6 2526644
%MEM   RSS
85.1 2539776
%MEM   RSS
85.2 2542392
%MEM   RSS
85.6 2554560
%MEM   RSS
84.9 2535552
%MEM   RSS
85.4 2547780
%MEM   RSS
85.5 2552672
%MEM   RSS
85.4 2549364
%MEM   RSS
85.7 2557160
%MEM   RSS
84.7 2528596
%MEM   RSS
85.5 2552028
%MEM   RSS
85.4 2548680
%MEM   RSS
85.4 2550448
%MEM   RSS
85.7 2558280
%MEM   RSS
85.7 2558280
%MEM   RSS
85.3 2545316
%MEM   RSS
85.5 2552432
%MEM   RSS
85.4 2549284
%MEM   RSS
85.8 2561916
%MEM   RSS
84.9 2533060
%MEM   RSS
85.2 2543200
%MEM   RSS
85.5 2553164
%MEM   RSS
85.3 2545668
%MEM   RSS
84.6 2526104
%MEM   RSS
85.4 2549568
%MEM   RSS
85.3 2547040
%MEM   RSS
85.0 2537464
%MEM   RSS
85.3 2545176
%MEM   RSS
85.6 2555492
%MEM   RSS
85.5 2552984
%MEM   RSS
85.3 2546920
%MEM   RSS
85.4 2550464
%MEM   RSS
85.8 2560460
%MEM   RSS
85.6 2555664
%MEM   RSS
85.2 2544580
%MEM   RSS
86.1 2568468
%MEM   RSS
86.0 2567756
%MEM   RSS
85.8 2559716
%MEM   RSS
85.4 2549876
%MEM   RSS
86.0 2566484
%MEM   RSS
86.2 2572428
%MEM   RSS
85.8 2562148
%MEM   RSS
86.2 2573732
%MEM   RSS
86.0 2566960
%MEM   RSS
86.3 2575728
%MEM   RSS
86.1 2568604
%MEM   RSS
86.0 2568080
%MEM   RSS
86.2 2571788
%MEM   RSS
86.0 2566676
%MEM   RSS
86.1 2569744
%MEM   RSS
86.1 2570788
%MEM   RSS
86.4 2579776
%MEM   RSS
86.6 2583400
%MEM   RSS
86.4 2577920
%MEM   RSS
86.6 2586292
%MEM   RSS
86.5 2582280
%MEM   RSS
86.3 2576688
%MEM   RSS
86.6 2584948
%MEM   RSS
86.5 2582128
%MEM   RSS
85.6 2555660
%MEM   RSS
85.6 2555680
%MEM   RSS
85.6 2555280
%MEM   RSS
85.3 2545968
%MEM   RSS
85.6 2554116
%MEM   RSS
85.6 2556336
%MEM   RSS
85.4 2548368
%MEM   RSS
85.5 2552100
%MEM   RSS
85.6 2554028
%MEM   RSS
85.3 2545340
%MEM   RSS
85.1 2541052
%MEM   RSS
85.2 2544288
%MEM   RSS
85.1 2540532
%MEM   RSS
85.3 2545608
%MEM   RSS
85.4 2548568
%MEM   RSS
85.4 2549608
