%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241568
%MEM   RSS
52.0 4241528
%MEM   RSS
52.0 4241568
%MEM   RSS
52.0 4241392
%MEM   RSS
52.0 4241576
%MEM   RSS
52.0 4241592
%MEM   RSS
52.0 4241504
%MEM   RSS
52.0 4241704
%MEM   RSS
52.0 4241444
%MEM   RSS
52.0 4241496
%MEM   RSS
52.0 4241188
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4239540
%MEM   RSS
52.0 4241480
%MEM   RSS
52.0 4241380
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241468
%MEM   RSS
52.0 4241632
%MEM   RSS
52.0 4241720
%MEM   RSS
52.0 4241440
%MEM   RSS
52.0 4241704
%MEM   RSS
52.0 4241584
%MEM   RSS
52.0 4241916
%MEM   RSS
52.0 4241932
%MEM   RSS
52.0 4241676
%MEM   RSS
52.1 4242076
%MEM   RSS
52.0 4241540
%MEM   RSS
52.0 4242008
%MEM   RSS
52.0 4241720
%MEM   RSS
52.0 4241524
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241400
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241928
%MEM   RSS
52.1 4242116
%MEM   RSS
52.0 4241300
%MEM   RSS
52.0 4241828
%MEM   RSS
52.0 4241616
%MEM   RSS
52.0 4241792
%MEM   RSS
52.0 4241776
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241956
%MEM   RSS
52.0 4241532
%MEM   RSS
52.0 4241776
%MEM   RSS
52.0 4241344
%MEM   RSS
52.0 4241596
%MEM   RSS
52.0 4241908
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241828
%MEM   RSS
52.0 4241704
%MEM   RSS
52.0 4241740
%MEM   RSS
52.1 4242468
%MEM   RSS
52.0 4241856
%MEM   RSS
52.0 4242020
%MEM   RSS
52.0 4241756
%MEM   RSS
52.0 4241804
%MEM   RSS
52.0 4241820
%MEM   RSS
52.1 4242152
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241972
%MEM   RSS
52.0 4241692
%MEM   RSS
52.1 4242068
%MEM   RSS
52.0 4241784
%MEM   RSS
52.0 4241928
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241368
%MEM   RSS
52.0 4241796
%MEM   RSS
52.0 4241728
%MEM   RSS
52.0 4241616
%MEM   RSS
52.0 4241676
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241904
%MEM   RSS
52.0 4242000
%MEM   RSS
52.0 4241716
%MEM   RSS
52.0 4241752
%MEM   RSS
52.0 4241780
%MEM   RSS
52.0 4239768
%MEM   RSS
52.0 4241748
%MEM   RSS
52.1 4242104
%MEM   RSS
52.0 4241868
%MEM   RSS
52.0 4241960
%MEM   RSS
52.0 4241724
%MEM   RSS
52.0 4241668
%MEM   RSS
52.0 4241600
%MEM   RSS
52.0 4241724
%MEM   RSS
52.0 4241856
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241584
%MEM   RSS
52.0 4241856
%MEM   RSS
52.0 4241788
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241820
%MEM   RSS
52.0 4241908
%MEM   RSS
52.0 4241836
%MEM   RSS
52.1 4242060
%MEM   RSS
52.0 4241664
%MEM   RSS
52.0 4241792
%MEM   RSS
52.0 4241880
%MEM   RSS
52.0 4241888
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241464
%MEM   RSS
52.0 4241644
%MEM   RSS
52.0 4241856
%MEM   RSS
52.0 4241868
%MEM   RSS
52.0 4241716
%MEM   RSS
52.0 4241640
%MEM   RSS
52.0 4241716
%MEM   RSS
52.0 4241432
%MEM   RSS
52.0 4241836
%MEM   RSS
52.0 4241892
%MEM   RSS
52.0 4241920
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241624
%MEM   RSS
52.0 4241584
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241828
%MEM   RSS
52.0 4241628
%MEM   RSS
52.0 4241556
%MEM   RSS
52.0 4241860
%MEM   RSS
52.0 4241612
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241748
%MEM   RSS
52.0 4241544
%MEM   RSS
52.0 4241580
%MEM   RSS
52.0 4241560
%MEM   RSS
52.0 4241424
%MEM   RSS
52.0 4241488
%MEM   RSS
52.0 4241192
%MEM   RSS
52.0 4241296
%MEM   RSS
52.0 4241340
%MEM   RSS
52.0 4241320
%MEM   RSS
52.0 4241620
%MEM   RSS
52.0 4241516
%MEM   RSS
52.0 4241688
%MEM   RSS
52.0 4241516
%MEM   RSS
52.0 4241596
%MEM   RSS
52.0 4241032
%MEM   RSS
52.0 4241700
%MEM   RSS
52.0 4241464
%MEM   RSS
52.0 4241504
%MEM   RSS
52.0 4241448
%MEM   RSS
52.0 4241620
%MEM   RSS
52.0 4241160
%MEM   RSS
52.0 4241548
%MEM   RSS
52.1 4242156
%MEM   RSS
52.0 4241568
%MEM   RSS
52.0 4241596
%MEM   RSS
52.0 4241552
%MEM   RSS
52.0 4239940
%MEM   RSS
52.0 4241556
%MEM   RSS
52.0 4241912
%MEM   RSS
52.0 4241520
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241880
%MEM   RSS
52.0 4241704
%MEM   RSS
52.0 4241644
%MEM   RSS
52.0 4241924
%MEM   RSS
52.0 4241924
%MEM   RSS
52.0 4241756
%MEM   RSS
52.0 4241668
%MEM   RSS
52.0 4241632
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241640
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241984
%MEM   RSS
52.0 4241904
%MEM   RSS
52.0 4241892
%MEM   RSS
52.0 4241844
%MEM   RSS
52.0 4241816
%MEM   RSS
52.0 4241952
%MEM   RSS
52.0 4241796
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241592
%MEM   RSS
52.0 4241640
%MEM   RSS
52.0 4241848
%MEM   RSS
52.0 4241808
%MEM   RSS
52.0 4241484
%MEM   RSS
52.1 4242096
%MEM   RSS
52.0 4241792
%MEM   RSS
52.0 4242016
%MEM   RSS
52.0 4241600
%MEM   RSS
52.0 4241456
%MEM   RSS
52.0 4241780
%MEM   RSS
52.0 4241624
%MEM   RSS
52.0 4241736
%MEM   RSS
52.0 4241836
%MEM   RSS
52.0 4241944
%MEM   RSS
52.0 4241900
%MEM   RSS
52.0 4241484
%MEM   RSS
52.0 4241736
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4241800
%MEM   RSS
52.0 4241832
%MEM   RSS
52.0 4241752
%MEM   RSS
52.0 4241776
%MEM   RSS
52.0 4241920
%MEM   RSS
52.0 4241948
%MEM   RSS
52.0 4241840
%MEM   RSS
52.0 4241484
%MEM   RSS
52.0 4241448
%MEM   RSS
52.0 4241852
%MEM   RSS
52.0 4241856
%MEM   RSS
52.0 4241904
%MEM   RSS
52.0 4241756
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241808
%MEM   RSS
52.0 4241852
%MEM   RSS
52.0 4241920
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4241764
%MEM   RSS
52.0 4241940
%MEM   RSS
52.0 4241536
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241864
%MEM   RSS
52.0 4241844
%MEM   RSS
52.0 4241716
%MEM   RSS
52.1 4242128
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241728
%MEM   RSS
52.0 4241332
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241776
%MEM   RSS
52.0 4241332
%MEM   RSS
52.0 4241844
%MEM   RSS
52.0 4241632
%MEM   RSS
52.0 4241628
%MEM   RSS
52.0 4241908
%MEM   RSS
52.0 4241880
%MEM   RSS
52.0 4241744
%MEM   RSS
52.0 4241632
%MEM   RSS
52.1 4242088
%MEM   RSS
52.0 4241804
%MEM   RSS
52.0 4241748
%MEM   RSS
52.0 4241812
%MEM   RSS
52.0 4241588
%MEM   RSS
52.0 4241692
%MEM   RSS
52.0 4241604
%MEM   RSS
52.0 4241876
%MEM   RSS
52.0 4241800
%MEM   RSS
52.0 4242016
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241732
%MEM   RSS
52.0 4241876
%MEM   RSS
52.0 4242008
%MEM   RSS
52.0 4241464
%MEM   RSS
52.0 4241588
%MEM   RSS
52.0 4241844
%MEM   RSS
52.0 4241892
%MEM   RSS
52.0 4241732
%MEM   RSS
52.0 4241752
%MEM   RSS
52.0 4241172
%MEM   RSS
52.0 4241632
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241796
%MEM   RSS
52.0 4241692
%MEM   RSS
52.0 4241888
%MEM   RSS
52.1 4242332
%MEM   RSS
52.1 4242196
%MEM   RSS
52.0 4241780
%MEM   RSS
52.0 4241848
%MEM   RSS
52.0 4242020
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241556
%MEM   RSS
52.0 4242028
%MEM   RSS
52.0 4241804
%MEM   RSS
52.0 4241940
%MEM   RSS
52.0 4241408
%MEM   RSS
52.0 4241660
%MEM   RSS
52.0 4241912
%MEM   RSS
52.0 4241520
%MEM   RSS
52.0 4241792
%MEM   RSS
52.0 4241736
%MEM   RSS
52.0 4241952
%MEM   RSS
52.0 4241784
%MEM   RSS
52.0 4241908
%MEM   RSS
52.0 4241820
%MEM   RSS
52.0 4241796
%MEM   RSS
52.0 4241752
%MEM   RSS
52.0 4241940
%MEM   RSS
52.0 4241656
%MEM   RSS
52.0 4241720
%MEM   RSS
52.0 4241788
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241952
%MEM   RSS
52.0 4241936
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241656
%MEM   RSS
52.0 4241964
%MEM   RSS
52.0 4240320
%MEM   RSS
52.0 4241704
%MEM   RSS
52.0 4241908
%MEM   RSS
52.0 4241748
%MEM   RSS
52.0 4241900
%MEM   RSS
52.0 4241844
%MEM   RSS
52.0 4241936
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4241664
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241988
%MEM   RSS
52.0 4242036
%MEM   RSS
52.0 4241960
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241664
%MEM   RSS
52.0 4241956
%MEM   RSS
52.0 4241816
%MEM   RSS
52.0 4241748
%MEM   RSS
52.0 4241764
%MEM   RSS
52.0 4242016
%MEM   RSS
52.0 4241996
%MEM   RSS
52.0 4242016
%MEM   RSS
52.0 4241928
%MEM   RSS
52.1 4242064
%MEM   RSS
52.0 4241696
%MEM   RSS
52.0 4241804
%MEM   RSS
52.0 4241556
%MEM   RSS
52.0 4241744
%MEM   RSS
52.0 4241880
%MEM   RSS
52.0 4241900
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241628
%MEM   RSS
52.0 4241888
%MEM   RSS
52.0 4241728
%MEM   RSS
52.0 4241640
%MEM   RSS
52.0 4241692
%MEM   RSS
52.0 4241444
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241800
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241740
%MEM   RSS
52.1 4242304
%MEM   RSS
52.1 4242084
%MEM   RSS
52.0 4241724
%MEM   RSS
52.0 4241816
%MEM   RSS
52.0 4241736
%MEM   RSS
52.0 4241876
%MEM   RSS
52.0 4241692
%MEM   RSS
52.0 4241952
%MEM   RSS
52.0 4241576
%MEM   RSS
52.0 4241708
%MEM   RSS
52.0 4241828
%MEM   RSS
52.0 4241540
%MEM   RSS
52.0 4241668
%MEM   RSS
52.0 4241916
%MEM   RSS
52.0 4241972
%MEM   RSS
52.0 4242004
%MEM   RSS
52.0 4241688
%MEM   RSS
52.0 4241620
%MEM   RSS
52.0 4241808
%MEM   RSS
52.1 4242216
%MEM   RSS
52.0 4241984
%MEM   RSS
52.0 4241716
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241556
%MEM   RSS
52.0 4241772
%MEM   RSS
52.0 4241920
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241944
%MEM   RSS
52.0 4241620
%MEM   RSS
52.0 4241912
%MEM   RSS
52.0 4241832
%MEM   RSS
52.0 4240636
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241532
%MEM   RSS
52.0 4241904
%MEM   RSS
52.0 4241836
%MEM   RSS
52.0 4241956
%MEM   RSS
52.0 4241208
%MEM   RSS
52.0 4241760
%MEM   RSS
52.0 4241772
%MEM   RSS
52.0 4241724
%MEM   RSS
52.0 4241828
%MEM   RSS
52.0 4241928
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4241460
%MEM   RSS
52.0 4241840
%MEM   RSS
52.1 4242108
%MEM   RSS
52.0 4241800
%MEM   RSS
52.0 4241712
%MEM   RSS
52.1 4242284
%MEM   RSS
52.0 4241932
%MEM   RSS
52.0 4241792
%MEM   RSS
52.0 4241684
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241728
%MEM   RSS
52.0 4241812
%MEM   RSS
52.0 4241680
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241356
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241700
%MEM   RSS
52.0 4241656
%MEM   RSS
52.0 4241404
%MEM   RSS
52.0 4241224
%MEM   RSS
52.0 4241276
%MEM   RSS
52.1 4242108
%MEM   RSS
52.0 4241672
%MEM   RSS
52.0 4241660
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241768
%MEM   RSS
52.0 4241800
%MEM   RSS
52.0 4241636
%MEM   RSS
52.0 4241700
%MEM   RSS
52.0 4241532
%MEM   RSS
52.0 4241748
%MEM   RSS
52.0 4241532
%MEM   RSS
52.0 4241480
%MEM   RSS
52.0 4241736
%MEM   RSS
52.0 4241332
%MEM   RSS
52.0 4241632
%MEM   RSS
52.0 4241812
%MEM   RSS
52.1 4242096
%MEM   RSS
52.0 4241564
%MEM   RSS
52.0 4241884
%MEM   RSS
52.0 4241488
%MEM   RSS
52.0 4241652
%MEM   RSS
52.0 4241740
%MEM   RSS
52.0 4241552
%MEM   RSS
52.0 4241788
%MEM   RSS
52.0 4241632
%MEM   RSS
52.0 4241672
%MEM   RSS
52.1 4242156
%MEM   RSS
52.0 4241784
%MEM   RSS
52.0 4241884
%MEM   RSS
52.0 4241248
%MEM   RSS
