%MEM    RSS
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
%MEM    RSS
12.6 4243536
