%MEM   RSS
81.0 2416940
%MEM   RSS
81.0 2417636
%MEM   RSS
81.0 2417400
%MEM   RSS
81.0 2417072
%MEM   RSS
81.0 2417196
%MEM   RSS
81.0 2417140
%MEM   RSS
81.0 2417084
%MEM   RSS
81.0 2417440
%MEM   RSS
81.0 2417360
%MEM   RSS
81.0 2417228
%MEM   RSS
81.0 2416972
%MEM   RSS
81.0 2417244
%MEM   RSS
81.0 2417256
%MEM   RSS
80.7 2409956
%MEM   RSS
80.8 2411092
%MEM   RSS
81.1 2421744
%MEM   RSS
80.9 2415364
%MEM   RSS
80.9 2415652
%MEM   RSS
81.0 2418872
%MEM   RSS
80.5 2403732
%MEM   RSS
80.8 2413168
%MEM   RSS
81.2 2424040
%MEM   RSS
81.6 2436168
%MEM   RSS
81.4 2429092
%MEM   RSS
81.4 2429584
%MEM   RSS
81.2 2422532
%MEM   RSS
81.5 2433652
%MEM   RSS
81.3 2427500
%MEM   RSS
81.7 2439072
%MEM   RSS
81.5 2433904
%MEM   RSS
81.0 2417116
%MEM   RSS
81.3 2427356
%MEM   RSS
81.7 2439124
%MEM   RSS
81.8 2442080
%MEM   RSS
81.5 2431272
%MEM   RSS
81.8 2441596
%MEM   RSS
82.1 2449336
%MEM   RSS
81.8 2440752
%MEM   RSS
82.2 2452464
%MEM   RSS
81.8 2440900
%MEM   RSS
82.1 2451124
%MEM   RSS
81.9 2445708
%MEM   RSS
81.7 2440080
%MEM   RSS
82.1 2451080
%MEM   RSS
82.1 2451592
%MEM   RSS
82.1 2451944
%MEM   RSS
81.8 2440580
%MEM   RSS
82.1 2451864
%MEM   RSS
82.1 2450928
%MEM   RSS
81.9 2444088
%MEM   RSS
82.0 2447336
%MEM   RSS
81.9 2445344
%MEM   RSS
81.9 2443312
%MEM   RSS
81.8 2441700
%MEM   RSS
81.7 2440172
%MEM   RSS
81.7 2438256
%MEM   RSS
81.5 2431472
%MEM   RSS
81.9 2443336
%MEM   RSS
81.9 2443380
%MEM   RSS
81.8 2440476
%MEM   RSS
81.7 2438496
%MEM   RSS
81.6 2435340
%MEM   RSS
81.5 2432092
%MEM   RSS
81.4 2429316
%MEM   RSS
81.3 2427220
%MEM   RSS
81.7 2437644
%MEM   RSS
81.2 2422604
%MEM   RSS
81.5 2433976
%MEM   RSS
81.5 2432708
%MEM   RSS
81.5 2432184
%MEM   RSS
81.4 2429552
%MEM   RSS
81.4 2428760
